x,y,timestamp,ssid,bssid,security,frequency,rssi
0.39066616,0.3167232,1745981698394,WUNIST_AAA_5G,38:20:56:7e:e0:ae,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],5540,-63
0.39066616,0.3167232,1745981698394,WUNIST_AAA_5G,94:d4:69:fa:83:4e,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],5600,-65
0.39066616,0.3167232,1745981698394,WUNIST_AAA_5G,38:20:56:85:ad:8e,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],5260,-68
0.39066616,0.3167232,1745981698394,WUNIST_AAA_5G,38:20:56:81:16:6e,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],5180,-74
0.39066616,0.3167232,1745981698394,WUNIST_AAA_5G,38:20:56:81:04:6e,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],5260,-80
0.39066616,0.3167232,1745981698394,WUNIST_AAA_5G,80:e8:6f:d8:bd:ae,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],5320,-83
0.39066616,0.3167232,1745981698394,WUNIST_AAA_5G,38:20:56:85:b3:8e,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],5600,-86
0.39066616,0.3167232,1745981698394,WUNIST_AAA_5G,38:20:56:81:04:2e,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],5825,-89
0.43461147,0.31023797,1745981715611,WUNIST_AAA_5G,38:20:56:7e:e0:ae,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],5540,-59
0.43461147,0.31023797,1745981715611,WUNIST_AAA_5G,38:20:56:85:ad:8e,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],5260,-68
0.43461147,0.31023797,1745981715611,WUNIST_AAA_5G,38:20:56:81:16:6e,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],5180,-68
0.43461147,0.31023797,1745981715611,WUNIST_AAA_5G,94:d4:69:fa:83:4e,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],5600,-70
0.43461147,0.31023797,1745981715611,WUNIST_AAA_5G,94:d4:69:fa:7e:ce,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],5260,-79
0.43461147,0.31023797,1745981715611,WUNIST_AAA_5G,38:20:56:81:04:6e,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],5260,-82
0.43461147,0.31023797,1745981715611,WUNIST_AAA_5G,38:20:56:81:04:2e,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],5825,-82
0.43461147,0.31023797,1745981715611,WUNIST_AAA_5G,38:20:56:85:b3:8e,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],5600,-86
0.43461147,0.31023797,1745981715611,WUNIST_AAA_5G,38:20:56:81:03:ee,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],5785,-87
0.43461147,0.31023797,1745981715611,WUNIST_AAA_5G,38:20:56:81:03:8e,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],5745,-90
0.43461147,0.31023797,1745981715611,WUNIST_AAA_5G,80:e8:6f:d8:bd:ae,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],5320,-91
0.43461147,0.31023797,1745981715611,WUNIST_AAA_5G,38:20:56:81:00:2e,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],5220,-94
0.4748505,0.31753385,1745981723470,WUNIST_AAA_5G,38:20:56:81:16:6e,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],5180,-63
0.4748505,0.31753385,1745981723470,WUNIST_AAA_5G,38:20:56:85:ad:8e,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],5260,-65
0.4748505,0.31753385,1745981723470,WUNIST_AAA_5G,38:20:56:7e:e0:ae,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],5540,-66
0.4748505,0.31753385,1745981723470,WUNIST_AAA_5G,94:d4:69:fa:83:4e,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],5600,-72
0.4748505,0.31753385,1745981723470,WUNIST_AAA_5G,38:20:56:81:04:6e,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],5260,-77
0.4748505,0.31753385,1745981723470,WUNIST_AAA_5G,38:20:56:81:04:2e,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],5825,-85
0.4748505,0.31753385,1745981723470,WUNIST_AAA_5G,38:20:56:85:b3:8e,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],5600,-88
0.4748505,0.31753385,1745981723470,WUNIST_AAA_5G,38:20:56:81:00:2e,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],5220,-90
0.4748505,0.31753385,1745981723470,WUNIST_AAA_5G,80:e8:6f:d8:bd:ae,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],5320,-91
0.4748505,0.31753385,1745981723470,WUNIST_AAA_5G,94:d4:69:fa:7e:ee,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],5180,-93
0.52409047,0.32239777,1745981739679,WUNIST_AAA_5G,38:20:56:7e:e0:ae,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],5540,-57
0.52409047,0.32239777,1745981739679,WUNIST_AAA_5G,38:20:56:85:ad:8e,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],5260,-59
0.52409047,0.32239777,1745981739679,WUNIST_AAA_5G,38:20:56:81:16:6e,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],5180,-67
0.52409047,0.32239777,1745981739679,WUNIST_AAA_5G,94:d4:69:fa:83:4e,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],5600,-73
0.52409047,0.32239777,1745981739679,WUNIST_AAA_5G,94:d4:69:fa:7e:ce,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],5260,-75
0.52409047,0.32239777,1745981739679,WUNIST_AAA_5G,38:20:56:81:04:6e,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],5260,-84
0.52409047,0.32239777,1745981739679,WUNIST_AAA_5G,38:20:56:81:08:2e,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],5500,-87
0.52409047,0.32239777,1745981739679,WUNIST_AAA_5G,38:20:56:85:b3:8e,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],5600,-87
0.52409047,0.32239777,1745981739679,WUNIST_AAA_5G,38:20:56:81:04:2e,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],5825,-89
0.52409047,0.32239777,1745981739679,WUNIST_AAA_5G,38:20:56:81:03:ee,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],5785,-90
0.52409047,0.32239777,1745981739679,WUNIST_AAA_5G,38:20:56:81:00:2e,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],5220,-90
0.5836548,0.32037112,1745981752939,WUNIST_AAA_5G,38:20:56:7e:e0:ae,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],5540,-57
0.5836548,0.32037112,1745981752939,WUNIST_AAA_5G,38:20:56:85:ad:8e,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],5260,-59
0.5836548,0.32037112,1745981752939,WUNIST_AAA_5G,38:20:56:81:16:6e,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],5180,-67
0.5836548,0.32037112,1745981752939,WUNIST_AAA_5G,94:d4:69:fa:83:4e,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],5600,-73
0.5836548,0.32037112,1745981752939,WUNIST_AAA_5G,94:d4:69:fa:7e:ce,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],5260,-75
0.5836548,0.32037112,1745981752939,WUNIST_AAA_5G,38:20:56:81:04:6e,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],5260,-84
0.5836548,0.32037112,1745981752939,WUNIST_AAA_5G,38:20:56:81:08:2e,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],5500,-87
0.5836548,0.32037112,1745981752939,WUNIST_AAA_5G,38:20:56:85:b3:8e,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],5600,-87
0.5836548,0.32037112,1745981752939,WUNIST_AAA_5G,38:20:56:81:04:2e,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],5825,-89
0.5836548,0.32037112,1745981752939,WUNIST_AAA_5G,38:20:56:81:03:ee,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],5785,-90
0.5836548,0.32037112,1745981752939,WUNIST_AAA_5G,38:20:56:81:00:2e,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],5220,-90
0.5836548,0.32037112,1745981755949,WUNIST_AAA_5G,38:20:56:7e:e0:ae,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],5540,-57
0.5836548,0.32037112,1745981755949,WUNIST_AAA_5G,38:20:56:85:ad:8e,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],5260,-59
0.5836548,0.32037112,1745981755949,WUNIST_AAA_5G,38:20:56:81:16:6e,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],5180,-67
0.5836548,0.32037112,1745981755949,WUNIST_AAA_5G,94:d4:69:fa:83:4e,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],5600,-73
0.5836548,0.32037112,1745981755949,WUNIST_AAA_5G,94:d4:69:fa:7e:ce,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],5260,-75
0.5836548,0.32037112,1745981755949,WUNIST_AAA_5G,38:20:56:81:04:6e,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],5260,-84
0.5836548,0.32037112,1745981755949,WUNIST_AAA_5G,38:20:56:81:08:2e,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],5500,-87
0.5836548,0.32037112,1745981755949,WUNIST_AAA_5G,38:20:56:85:b3:8e,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],5600,-87
0.5836548,0.32037112,1745981755949,WUNIST_AAA_5G,38:20:56:81:04:2e,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],5825,-89
0.5836548,0.32037112,1745981755949,WUNIST_AAA_5G,38:20:56:81:03:ee,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],5785,-90
0.5836548,0.32037112,1745981755949,WUNIST_AAA_5G,38:20:56:81:00:2e,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],5220,-90
0.6265412,0.31185928,1745981761644,WUNIST_AAA_5G,38:20:56:7e:e0:ae,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],5540,-57
0.6265412,0.31185928,1745981761644,WUNIST_AAA_5G,38:20:56:85:ad:8e,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],5260,-59
0.6265412,0.31185928,1745981761644,WUNIST_AAA_5G,38:20:56:81:16:6e,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],5180,-67
0.6265412,0.31185928,1745981761644,WUNIST_AAA_5G,94:d4:69:fa:83:4e,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],5600,-73
0.6265412,0.31185928,1745981761644,WUNIST_AAA_5G,94:d4:69:fa:7e:ce,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],5260,-75
0.6265412,0.31185928,1745981761644,WUNIST_AAA_5G,38:20:56:81:04:6e,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],5260,-84
0.6265412,0.31185928,1745981761644,WUNIST_AAA_5G,38:20:56:81:08:2e,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],5500,-87
0.6265412,0.31185928,1745981761644,WUNIST_AAA_5G,38:20:56:85:b3:8e,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],5600,-87
0.6265412,0.31185928,1745981761644,WUNIST_AAA_5G,38:20:56:81:04:2e,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],5825,-89
0.6265412,0.31185928,1745981761644,WUNIST_AAA_5G,38:20:56:81:03:ee,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],5785,-90
0.6265412,0.31185928,1745981761644,WUNIST_AAA_5G,38:20:56:81:00:2e,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],5220,-90
0.6712807,0.31956047,1745981770714,WUNIST_AAA_5G,38:20:56:7e:e0:ae,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],5540,-57
0.6712807,0.31956047,1745981770714,WUNIST_AAA_5G,38:20:56:85:ad:8e,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],5260,-59
0.6712807,0.31956047,1745981770714,WUNIST_AAA_5G,38:20:56:81:16:6e,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],5180,-67
0.6712807,0.31956047,1745981770714,WUNIST_AAA_5G,94:d4:69:fa:83:4e,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],5600,-73
0.6712807,0.31956047,1745981770714,WUNIST_AAA_5G,94:d4:69:fa:7e:ce,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],5260,-75
0.6712807,0.31956047,1745981770714,WUNIST_AAA_5G,38:20:56:81:04:6e,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],5260,-84
0.6712807,0.31956047,1745981770714,WUNIST_AAA_5G,38:20:56:81:08:2e,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],5500,-87
